dataset	Boruta_ada	Boruta_rfc	DTW_NN	FRESH_PCAa_ada	FRESH_PCAa_rfc	FRESH_PCAb_ada	FRESH_PCAb_rfc	FRESH_ada	FRESH_rfc	LDA_ada	LDA_rfc	ada	rfc	trivial
BeetleFly	0.70	0.73	0.80	0.72	0.78	0.75	0.68	0.83	0.90	0.65	0.65	0.85	0.80	0.6
BirdChicken	0.80	0.90	0.90	0.95	0.93	0.85	0.83	0.98	0.95	0.70	0.70	0.90	0.95	0.63
Coffee	1.00	1.00	0.98	1.00	0.93	0.87	0.83	0.93	1.00	1.00	1.00	0.95	0.96	0.55
Computers	0.72	0.82	1.00	0.64	0.64	0.61	0.60	0.69	0.72	0.65	0.72	0.70	0.69	0.7
DistalPhalanxOutlineCorrect	0.76	0.75	0.73	0.83	0.83	0.81	0.80	0.82	0.83	0.77	0.77	0.79	0.81	0.64
Earthquakes	0.79	0.77	0.60	0.74	0.77	0.75	0.80	0.72	0.76	0.68	0.68	0.76	0.77	0.55
ECG200	0.85	0.83	0.81	0.86	0.82	0.86	0.77	0.89	0.86	0.81	0.81	0.90	0.89	0.75
ECGFiveDays	0.83	0.83	0.78	0.97	0.96	0.98	0.90	1.00	1.00	0.95	0.93	1.00	1.00	0.73
FordA	0.42	0.49	0.70	1.00	0.97	0.95	0.85	1.00	1.00	0.57	0.59	1.00	0.99	0.62
FordB	0.51	0.53	0.74	0.87	0.84	0.82	0.74	0.92	0.90	0.60	0.58	0.92	0.84	0.62
GunPoint	0.91	0.93	0.88	0.98	0.93	0.91	0.89	0.97	0.97	0.87	0.87	0.96	0.95	0.68
Ham	0.73	0.86	1.00	0.63	0.74	0.65	0.56	0.73	0.68	0.54	0.74	0.73	0.65	0.6
HandOutlines	0.67	0.66	0.70	0.84	0.84	0.83	0.82	0.82	0.82	0.76	0.76	0.84	0.84	0.7
Herring	0.73	0.61	0.42	0.84	0.84	0.71	0.71	0.76	0.80	0.63	0.65	0.74	0.84	0.71
ItalyPowerDemand	0.83	0.92	0.93	0.94	0.94	0.95	0.91	0.96	0.96	0.89	0.89	0.96	0.96	0.55
Lightning2	0.62	0.80	0.67	0.70	0.69	0.66	0.71	0.72	0.78	0.74	0.76	0.72	0.69	0.59
MiddlePhalanxOutlineCorrect	0.73	0.73	0.64	0.71	0.74	0.78	0.74	0.77	0.77	0.76	0.74	0.78	0.78	0.53
MoteStrain	0.81	0.84	0.78	0.92	0.88	0.89	0.84	0.95	0.93	0.78	0.78	0.95	0.94	0.67
PhalangesOutlinesCorrect	0.80	0.75	0.73	0.66	0.64	0.74	0.74	0.74	0.75	0.77	0.77	0.75	0.78	0.7
ProximalPhalanxOutlineCorrect	0.83	0.78	0.69	0.83	0.79	0.81	0.78	0.86	0.85	0.76	0.76	0.84	0.84	0.64
ShapeletSim	0.66	0.81	0.76	0.99	0.98	0.99	0.92	1.00	0.99	0.53	0.56	1.00	1.00	0.55
SonyAIBORobotSurface1	0.90	0.96	0.93	0.98	0.97	0.98	0.94	0.99	0.98	0.87	0.87	0.99	0.98	0.75
SonyAIBORobotSurface2	0.84	0.85	0.88	0.96	0.91	0.96	0.91	0.97	0.97	0.94	0.94	0.97	0.97	0.73
Strawberry	0.78	0.85	1.00	0.90	0.88	0.92	0.87	0.94	0.94	0.78	0.82	0.94	0.93	0.62
ToeSegmentation1	0.42	0.50	0.53	0.90	0.88	0.84	0.72	0.90	0.88	0.55	0.55	0.89	0.85	0.62
ToeSegmentation2	0.50	0.53	0.91	0.90	0.85	0.84	0.80	0.93	0.88	0.39	0.41	0.92	0.89	0.72
TwoLeadECG	0.75	0.73	0.93	0.99	0.96	0.99	0.94	0.99	1.00	0.88	0.88	1.00	0.98	0.6
Wafer	0.96	0.96	0.96	0.99	0.99	0.99	0.99	1.00	1.00	0.87	0.87	1.00	1.00	0.7
Wine	0.81	0.81	0.89	0.60	0.62	0.68	0.58	0.63	0.66	0.93	0.93	0.82	0.63	0.67
WormsTwoClass	0.72	0.84	1.00	0.60	0.72	0.61	0.64	0.59	0.69	0.88	0.88	0.82	0.63	0.55
Yoga	0.54	0.62	0.67	0.88	0.90	0.77	0.66	0.93	0.92	0.57	0.57	0.93	0.89	0.59
