dataset	Boruta_ada	Boruta_rfc	DTW_NN	FRESH_PCAa_ada	FRESH_PCAa_rfc	FRESH_PCAb_ada	FRESH_PCAb_rfc	FRESH_ada	FRESH_rfc	ada	rfc	LDA_ada	LDA_rfc	trivial
BeetleFly	0.19	0.24	0.22	0.22	0.18	0.19	0.20	0.16	0.17	0.12	0.15	0.20	0.20	0.11
BirdChicken	0.15	0.12	0.12	0.10	0.11	0.12	0.20	0.08	0.10	0.17	0.15	0.22	0.22	0.21
Coffee	0.00	0.00	0.06	0.00	0.12	0.21	0.15	0.10	0.00	0.11	0.08	0.00	0.00	0.18
Computers	0.20	0.17	0.00	0.05	0.08	0.05	0.03	0.03	0.05	0.02	0.03	0.17	0.19	0.03
DistalPhalanxOutlineCorrect	0.19	0.19	0.13	0.01	0.02	0.03	0.19	0.02	0.02	0.03	0.02	0.20	0.20	0.15
Earthquakes	0.12	0.16	0.21	0.02	0.03	0.03	0.00	0.04	0.03	0.02	0.02	0.20	0.20	0.17
ECG200	0.17	0.22	0.11	0.07	0.03	0.03	0.16	0.01	0.05	0.05	0.03	0.13	0.13	0.13
ECGFiveDays	0.19	0.11	0.20	0.01	0.02	0.01	0.01	0.00	0.00	0.00	0.00	0.10	0.11	0.15
FordA	0.03	0.03	0.05	0.00	0.01	0.02	0.03	0.00	0.00	0.00	0.01	0.12	0.14	0.06
FordB	0.05	0.02	0.04	0.02	0.03	0.02	0.04	0.03	0.03	0.02	0.02	0.20	0.19	0.07
GunPoint	0.11	0.11	0.07	0.01	0.06	0.04	0.07	0.04	0.05	0.03	0.03	0.18	0.18	0.17
Ham	0.17	0.19	0.00	0.04	0.04	0.05	0.09	0.08	0.10	0.04	0.05	0.18	0.20	0.12
HandOutlines	0.17	0.18	0.13	0.02	0.03	0.05	0.19	0.02	0.06	0.04	0.04	0.16	0.16	0.11
Herring	0.20	0.25	0.14	0.02	0.03	0.05	0.03	0.02	0.06	0.04	0.04	0.19	0.18	0.10
ItalyPowerDemand	0.16	0.10	0.10	0.02	0.02	0.01	0.20	0.02	0.01	0.02	0.01	0.21	0.21	0.17
Lightning2	0.16	0.20	0.16	0.06	0.06	0.08	0.09	0.05	0.08	0.05	0.04	0.20	0.18	0.09
MiddlePhalanxOutlineCorrect	0.05	0.06	0.06	0.04	0.02	0.06	0.19	0.03	0.03	0.02	0.03	0.08	0.09	0.19
MoteStrain	0.17	0.18	0.17	0.02	0.03	0.04	0.05	0.01	0.03	0.02	0.01	0.13	0.13	0.16
PhalangesOutlinesCorrect	0.19	0.19	0.13	0.03	0.07	0.04	0.03	0.03	0.01	0.05	0.02	0.20	0.20	0.02
ProximalPhalanxOutlineCorrect	0.16	0.24	0.07	0.02	0.05	0.04	0.04	0.03	0.02	0.02	0.03	0.16	0.16	0.02
ShapeletSim	0.17	0.10	0.02	0.01	0.04	0.02	0.05	0.00	0.01	0.00	0.00	0.18	0.15	0.11
SonyAIBORobotSurface1	0.13	0.08	0.10	0.01	0.03	0.01	0.16	0.01	0.01	0.00	0.01	0.17	0.17	0.17
SonyAIBORobotSurface2	0.17	0.13	0.20	0.03	0.04	0.00	0.04	0.01	0.02	0.01	0.02	0.13	0.13	0.14
Strawberry	0.16	0.13	0.00	0.02	0.02	0.03	0.03	0.02	0.02	0.02	0.02	0.16	0.13	0.10
ToeSegmentation1	0.19	0.20	0.06	0.05	0.02	0.03	0.03	0.02	0.06	0.04	0.05	0.22	0.22	0.08
ToeSegmentation2	0.20	0.17	0.15	0.07	0.05	0.02	0.07	0.01	0.05	0.03	0.04	0.23	0.26	0.19
TwoLeadECG	0.19	0.21	0.11	0.01	0.01	0.01	0.03	0.00	0.00	0.00	0.01	0.20	0.20	0.11
Wafer	0.08	0.08	0.08	0.00	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.18	0.18	0.14
Wine	0.30	0.29	0.04	0.12	0.12	0.11	0.10	0.12	0.08	0.13	0.19	0.11	0.11	0.02
WormsTwoClass	0.22	0.27	0.00	0.12	0.12	0.13	0.10	0.09	0.09	0.13	0.17	0.18	0.19	0.03
Yoga	0.27	0.24	0.01	0.02	0.03	0.03	0.03	0.02	0.02	0.02	0.01	0.20	0.20	0.40
